2019-04-08 21:00:51 install libgpg-error0:arm64 <none> 1.27-6
2019-04-08 21:00:51 status half-installed libgpg-error0:arm64 1.27-6
2019-04-08 21:00:51 status unpacked libgpg-error0:arm64 1.27-6
2019-04-08 21:00:51 status unpacked libgpg-error0:arm64 1.27-6
2019-04-08 21:00:51 install liblz4-1:arm64 <none> 0.0~r131-2ubuntu3
2019-04-08 21:00:51 status half-installed liblz4-1:arm64 0.0~r131-2ubuntu3
2019-04-08 21:00:51 status unpacked liblz4-1:arm64 0.0~r131-2ubuntu3
2019-04-08 21:00:51 status unpacked liblz4-1:arm64 0.0~r131-2ubuntu3
2019-04-08 21:00:51 install liblzma5:arm64 <none> 5.2.2-1.3
2019-04-08 21:00:51 status half-installed liblzma5:arm64 5.2.2-1.3
2019-04-08 21:00:51 status unpacked liblzma5:arm64 5.2.2-1.3
2019-04-08 21:00:51 status unpacked liblzma5:arm64 5.2.2-1.3
2019-04-08 21:00:51 install libmount1:arm64 <none> 2.31.1-0.4ubuntu3
2019-04-08 21:00:51 status half-installed libmount1:arm64 2.31.1-0.4ubuntu3
2019-04-08 21:00:51 status unpacked libmount1:arm64 2.31.1-0.4ubuntu3
2019-04-08 21:00:51 status unpacked libmount1:arm64 2.31.1-0.4ubuntu3
2019-04-08 21:00:51 install libncurses5:arm64 <none> 6.1-1ubuntu1
2019-04-08 21:00:51 status half-installed libncurses5:arm64 6.1-1ubuntu1
2019-04-08 21:00:51 status unpacked libncurses5:arm64 6.1-1ubuntu1
2019-04-08 21:00:51 status unpacked libncurses5:arm64 6.1-1ubuntu1
2019-04-08 21:00:51 install libncursesw5:arm64 <none> 6.1-1ubuntu1
2019-04-08 21:00:51 status half-installed libncursesw5:arm64 6.1-1ubuntu1
2019-04-08 21:00:51 status unpacked libncursesw5:arm64 6.1-1ubuntu1
2019-04-08 21:00:51 status unpacked libncursesw5:arm64 6.1-1ubuntu1
2019-04-08 21:00:51 install libpam-modules:arm64 <none> 1.1.8-3.6ubuntu2
2019-04-08 21:00:51 status half-installed libpam-modules:arm64 1.1.8-3.6ubuntu2
2019-04-08 21:00:51 status unpacked libpam-modules:arm64 1.1.8-3.6ubuntu2
2019-04-08 21:00:51 status unpacked libpam-modules:arm64 1.1.8-3.6ubuntu2
2019-04-08 21:00:51 install libpam-modules-bin:arm64 <none> 1.1.8-3.6ubuntu2
2019-04-08 21:00:51 status half-installed libpam-modules-bin:arm64 1.1.8-3.6ubuntu2
2019-04-08 21:00:51 status unpacked libpam-modules-bin:arm64 1.1.8-3.6ubuntu2
2019-04-08 21:00:51 status unpacked libpam-modules-bin:arm64 1.1.8-3.6ubuntu2
2019-04-08 21:00:51 install libpam-runtime:all <none> 1.1.8-3.6ubuntu2
2019-04-08 21:00:51 status half-installed libpam-runtime:all 1.1.8-3.6ubuntu2
2019-04-08 21:00:51 status unpacked libpam-runtime:all 1.1.8-3.6ubuntu2
2019-04-08 21:00:51 status unpacked libpam-runtime:all 1.1.8-3.6ubuntu2
2019-04-08 21:00:51 install libpam0g:arm64 <none> 1.1.8-3.6ubuntu2
2019-04-08 21:00:51 status half-installed libpam0g:arm64 1.1.8-3.6ubuntu2
2019-04-08 21:00:51 status unpacked libpam0g:arm64 1.1.8-3.6ubuntu2
2019-04-08 21:00:51 status unpacked libpam0g:arm64 1.1.8-3.6ubuntu2
2019-04-08 21:00:51 install libpcre3:arm64 <none> 2:8.39-9
2019-04-08 21:00:51 status half-installed libpcre3:arm64 2:8.39-9
2019-04-08 21:00:51 status unpacked libpcre3:arm64 2:8.39-9
2019-04-08 21:00:51 status unpacked libpcre3:arm64 2:8.39-9
2019-04-08 21:00:51 install libprocps6:arm64 <none> 2:3.3.12-3ubuntu1
2019-04-08 21:00:51 status half-installed libprocps6:arm64 2:3.3.12-3ubuntu1
2019-04-08 21:00:51 status unpacked libprocps6:arm64 2:3.3.12-3ubuntu1
2019-04-08 21:00:51 status unpacked libprocps6:arm64 2:3.3.12-3ubuntu1
2019-04-08 21:00:51 install libselinux1:arm64 <none> 2.7-2build2
2019-04-08 21:00:51 status half-installed libselinux1:arm64 2.7-2build2
2019-04-08 21:00:51 status unpacked libselinux1:arm64 2.7-2build2
2019-04-08 21:00:51 status unpacked libselinux1:arm64 2.7-2build2
2019-04-08 21:00:51 install libsemanage-common:all <none> 2.7-2build2
2019-04-08 21:00:51 status half-installed libsemanage-common:all 2.7-2build2
2019-04-08 21:00:51 status unpacked libsemanage-common:all 2.7-2build2
2019-04-08 21:00:51 status unpacked libsemanage-common:all 2.7-2build2
2019-04-08 21:00:51 install libsemanage1:arm64 <none> 2.7-2build2
2019-04-08 21:00:51 status half-installed libsemanage1:arm64 2.7-2build2
2019-04-08 21:00:51 status unpacked libsemanage1:arm64 2.7-2build2
2019-04-08 21:00:51 status unpacked libsemanage1:arm64 2.7-2build2
2019-04-08 21:00:51 install libsepol1:arm64 <none> 2.7-1
2019-04-08 21:00:51 status half-installed libsepol1:arm64 2.7-1
2019-04-08 21:00:52 status unpacked libsepol1:arm64 2.7-1
2019-04-08 21:00:52 status unpacked libsepol1:arm64 2.7-1
